HY,ACG,HR,HS,AwayTeam,HO,HC,HF,AST,HST,Date,AC,AF,FTHG,AO,AS,AR,HCG,AY,HHW,HomeTeam,AHW,FTAG
1,0,0,19,GIF Sundsvall,2,6,10,5,11,19/10/15,6,5,3,2,13,0,0,0,0,BK Häcken,0,1
1,0,0,11,IFK Göteborg,1,3,10,3,7,19/10/15,6,9,2,2,10,0,0,1,0,Djurgårdens IF,0,2
0,0,0,11,Örebro SK,2,9,13,4,6,19/10/15,6,11,2,0,11,0,0,0,1,Gefle IF,0,2
3,0,0,10,IFK Norrköping,3,2,10,10,7,19/10/15,11,11,3,5,15,0,0,3,0,IF Elfsborg,1,2
1,0,0,14,Djurgårdens IF,2,4,5,11,3,24/10/15,7,11,0,1,17,0,0,1,1,Falkenbergs FF,0,2
1,0,0,14,Helsingborgs IF,5,8,14,5,4,25/10/15,5,7,2,2,13,0,0,2,1,GIF Sundsvall,0,1
2,0,0,7,Malmö FF,4,2,10,1,2,25/10/15,9,10,0,3,3,0,0,2,2,Hammarby IF,0,1
4,0,0,17,IF Elfsborg,2,9,15,6,12,25/10/15,7,8,5,5,10,0,0,2,1,BK Häcken,0,2
1,0,0,18,Halmstads BK,1,4,5,4,6,25/10/15,10,11,3,1,4,0,0,1,0,IFK Norrköping,0,1
0,0,0,18,Gefle IF,2,6,13,3,11,26/10/15,3,9,3,1,4,1,0,2,0,Kalmar FF,0,1
1,0,0,16,Örebro SK,2,5,16,9,8,26/10/15,2,11,2,2,15,0,0,2,2,Åtvidabergs FF,0,3
4,0,0,13,IFK Göteborg,4,4,14,6,6,26/10/15,3,10,1,3,12,0,0,1,0,AIK,0,2
0,0,0,17,GIF Sundsvall,3,4,4,5,9,31/10/15,4,7,4,3,10,0,0,0,1,Djurgårdens IF,0,2
0,0,0,12,Åtvidabergs FF,2,5,13,2,5,31/10/15,3,10,2,4,11,0,0,1,0,Gefle IF,1,1
1,0,0,5,Hammarby IF,1,4,6,9,4,31/10/15,7,13,2,1,19,0,0,1,0,Halmstads BK,0,1
0,0,0,19,BK Häcken,1,6,10,5,10,31/10/15,2,8,1,2,10,0,0,0,0,Helsingborgs IF,0,2
0,0,0,19,Falkenbergs FF,6,6,6,6,11,31/10/15,3,7,4,2,7,0,0,1,0,IF Elfsborg,0,2
2,1,0,16,Kalmar FF,1,16,11,2,8,31/10/15,3,8,2,4,11,0,0,4,1,IFK Göteborg,0,2
4,0,2,8,IFK Norrköping,2,8,18,5,5,31/10/15,1,10,0,5,10,0,0,2,0,Malmö FF,1,2
1,0,0,19,AIK,2,10,13,17,12,31/10/15,6,9,1,0,21,0,0,2,0,Örebro SK,0,1
